Production_Order,Material,Plant,Quantity,Start_Date,End_Date
907,Wood,Ranunculaceae,314,8/10/2018,1/30/2021
908,Glass,Cladoniaceae,690,9/23/2018,5/15/2021
909,Rubber,Fabaceae,28,9/24/2018,12/31/2022
910,Aluminum,Gesneriaceae,387,3/11/2019,4/17/2021
911,Rubber,Cupressaceae,323,12/16/2018,2/25/2023
912,Granite,Dryopteridaceae,438,6/30/2018,1/20/2023
913,Vinyl,Rosaceae,517,3/14/2019,1/11/2023
914,Wood,Poaceae,747,9/28/2018,10/11/2021
915,Wood,Orchidaceae,707,6/18/2018,1/9/2022
916,Plastic,Primulaceae,934,11/11/2018,1/31/2021
917,Granite,Poaceae,69,3/23/2019,6/15/2022
918,Granite,Ranunculaceae,865,1/8/2019,8/23/2021
919,Glass,Scrophulariaceae,590,1/1/2019,9/22/2021
920,Rubber,Fabaceae,846,3/13/2019,12/10/2022
921,Granite,Amblystegiaceae,802,3/10/2019,3/23/2023
922,Plastic,Poaceae,383,10/22/2018,11/3/2022
923,Vinyl,Aristolochiaceae,936,10/11/2018,7/3/2022
924,Plexiglass,Fabaceae,755,9/3/2018,7/14/2021
925,Stone,Agavaceae,49,2/15/2019,4/22/2021
926,Rubber,Iridaceae,555,8/6/2018,12/13/2020
927,Vinyl,Malvaceae,417,12/9/2018,5/3/2021
928,Wood,Onagraceae,819,11/20/2018,7/1/2022
929,Brass,Fabaceae,727,8/9/2018,1/8/2021
930,Plastic,Betulaceae,152,9/23/2018,5/13/2022
931,Rubber,Berberidaceae,330,7/12/2018,7/18/2021
932,Wood,Thelotremataceae,922,12/17/2018,6/23/2020
933,Stone,Verbenaceae,127,6/1/2018,9/21/2022
934,Stone,Parmeliaceae,674,12/30/2018,8/11/2020
935,Brass,Celastraceae,721,7/30/2018,1/21/2022
936,Wood,Asteraceae,675,6/3/2018,12/20/2021
937,Plastic,Lecideaceae,295,11/19/2018,12/15/2021
938,Glass,Fabaceae,13,1/10/2019,8/28/2020
939,Stone,Aspleniaceae,431,6/17/2018,11/6/2022
940,Vinyl,Orchidaceae,20,8/21/2018,1/13/2023
941,Granite,Scrophulariaceae,574,8/21/2018,4/27/2022
942,Granite,Ranunculaceae,909,8/6/2018,7/21/2020
943,Vinyl,Brassicaceae,799,6/10/2018,3/1/2022
944,Stone,Loasaceae,563,10/8/2018,1/30/2023
945,Aluminum,Cyperaceae,168,10/8/2018,11/13/2020
946,Stone,Araceae,840,12/2/2018,2/19/2021
947,Rubber,Najadaceae,687,2/20/2019,8/18/2020
948,Glass,Saxifragaceae,200,8/16/2018,7/1/2022
949,Plexiglass,Casuarinaceae,786,11/7/2018,6/4/2020
950,Vinyl,Polypodiaceae,34,10/28/2018,8/6/2020
951,Rubber,Asclepiadaceae,604,7/9/2018,12/3/2022
952,Plastic,Poaceae,348,7/1/2018,10/19/2021
953,Stone,Asteraceae,226,6/13/2018,12/7/2020
954,Aluminum,Rutaceae,558,8/18/2018,2/25/2023
955,Wood,Cyperaceae,878,10/25/2018,7/24/2020
956,Plastic,Cucurbitaceae,343,8/16/2018,8/14/2021
957,Plexiglass,Selaginellaceae,744,7/2/2018,8/15/2020
958,Glass,Asclepiadaceae,974,6/27/2018,2/21/2021
959,Granite,Agavaceae,527,6/13/2018,11/11/2020
960,Brass,Asteraceae,532,10/7/2018,7/6/2020
961,Granite,Apocynaceae,981,11/18/2018,9/1/2021
962,Glass,Rosaceae,159,12/2/2018,10/26/2020
963,Brass,Malvaceae,826,10/28/2018,11/5/2020
964,Plexiglass,Poaceae,180,1/16/2019,3/14/2021
965,Stone,Gentianaceae,868,9/21/2018,2/9/2022
966,Granite,Rubiaceae,807,2/20/2019,2/2/2021
967,Vinyl,Lamiaceae,595,12/3/2018,3/31/2021
968,Plastic,Strigulaceae,261,11/21/2018,1/28/2023
969,Vinyl,Lamiaceae,133,7/6/2018,8/7/2020
970,Vinyl,Sphagnaceae,620,6/23/2018,7/29/2020
971,Plexiglass,Asteraceae,236,9/15/2018,9/1/2021
972,Steel,Salicaceae,198,7/15/2018,7/13/2022
973,Aluminum,Asteraceae,602,2/19/2019,2/25/2023
974,Stone,Turneraceae,957,3/11/2019,9/14/2022
975,Rubber,Lichinaceae,142,11/3/2018,5/22/2021
976,Stone,Malvaceae,897,8/24/2018,7/30/2022
977,Glass,Scrophulariaceae,102,1/3/2019,11/3/2022
978,Steel,Polygonaceae,876,7/12/2018,11/12/2022
979,Aluminum,Fagaceae,785,9/17/2018,2/1/2023
980,Plastic,Fabaceae,694,7/6/2018,6/18/2022
981,Aluminum,Asteraceae,839,9/4/2018,2/22/2022
982,Rubber,Scrophulariaceae,178,12/5/2018,7/4/2020
983,Aluminum,Nephromataceae,952,6/8/2018,6/8/2021
984,Plexiglass,Asteraceae,835,10/15/2018,6/21/2021
985,Steel,Cyperaceae,696,3/24/2019,8/13/2021
986,Granite,Asteraceae,633,7/9/2018,6/2/2020
987,Granite,Acanthaceae,901,9/24/2018,12/5/2022
988,Granite,Adoxaceae,768,11/19/2018,10/3/2020
989,Wood,Valerianaceae,369,12/26/2018,8/28/2021
990,Granite,Rosaceae,584,1/16/2019,4/25/2021
991,Plexiglass,Liliaceae,530,9/11/2018,6/10/2022
992,Vinyl,Asteraceae,823,7/14/2018,8/13/2020
993,Aluminum,Malvaceae,38,11/6/2018,11/21/2021
994,Plexiglass,Asteraceae,133,9/24/2018,8/17/2021
995,Brass,Liliaceae,718,7/16/2018,5/12/2022
996,Granite,Myoporaceae,436,10/9/2018,1/7/2023
997,Rubber,Iridaceae,113,11/18/2018,8/14/2021
998,Stone,Lamiaceae,648,3/9/2019,4/25/2021
999,Granite,Hydrophyllaceae,369,9/17/2018,2/15/2023
1000,Stone,Grossulariaceae,975,11/21/2018,12/17/2022
